transaction_id,claim_id,event_type,event_timestamp,handler_id,auto_or_manual,comment
T14924f661482,C0000001,received,2016-09-28,AUTO,manual adjuster,
T32cf4b0e525b,C0000001,opened,2016-09-30,AUTO,auto rule,
T1ea544d90661,C0000001,investigation,2016-10-01,H003,manual adjuster,
T2e8b627b39b6,C0000001,approved,2016-10-06,AUTO,auto rule,
Tb0916aed7d95,C0000001,closed,2016-11-26,H003,manual adjuster,
T20016affcd00,C0000002,received,2022-04-29,H003,manual adjuster,
Te87e248e1629,C0000002,opened,2022-05-03,H003,manual adjuster,
T47f7f7f29051,C0000002,investigation,2022-05-06,AUTO,auto rule,
T693d4e754603,C0000002,approved,2022-05-15,H003,manual adjuster,
T9c89b0a13659,C0000002,closed,2022-07-02,H001,auto rule,
T132ab1081c3e,C0000003,received,2023-03-20,H003,manual adjuster,
Tf7987a709599,C0000003,opened,2023-03-21,H002,manual adjuster,
T321655b66e84,C0000003,investigation,2023-04-04,AUTO,manual adjuster,
T9f770f023029,C0000003,approved,2023-04-06,H002,auto rule,
T0b05b6966416,C0000003,closed,2023-05-01,H002,manual adjuster,
T443627245ee4,C0000004,received,2023-10-20,H001,manual adjuster,
Tfb6d41ae52cf,C0000004,opened,2023-10-20,H001,manual adjuster,
Td4cfd9e307d7,C0000004,investigation,2023-11-08,H002,auto rule,
T1118b574a3a9,C0000004,approved,2023-11-11,H002,manual adjuster,
T808aefa17a1f,C0000004,closed,2024-01-08,H002,auto rule,
T7755f583ef35,C0000005,received,2023-10-10,H002,auto rule,
T23285de33927,C0000005,opened,2023-10-10,AUTO,manual adjuster,
T22ef90aec0da,C0000005,investigation,2023-10-16,AUTO,manual adjuster,
Td230aee1dfd2,C0000005,approved,2023-10-21,H002,manual adjuster,
T752dd4c2b92a,C0000005,closed,2023-12-08,AUTO,manual adjuster,
T8db108d7ad6c,C0000006,received,2022-07-21,H001,manual adjuster,
T27c5c3bb7d10,C0000006,opened,2022-07-25,H001,manual adjuster,
T0b755315859e,C0000006,investigation,2022-08-06,H001,manual adjuster,
T8113e064e9c4,C0000006,approved,2022-08-08,H003,manual adjuster,
T65a440af4c8f,C0000006,closed,2022-09-15,H002,auto rule,
Ta6e54ca510d2,C0000007,received,2020-06-19,H001,manual adjuster,
T6d175e7c0fd6,C0000007,opened,2020-06-19,H003,auto rule,
T036515d30703,C0000007,investigation,2020-06-27,AUTO,manual adjuster,
T6cfbaf179da6,C0000007,approved,2020-06-28,H001,auto rule,
Tb0d1e0574b3e,C0000007,closed,2020-08-02,H002,auto rule,
T9e5116e075af,C0000007,reopened,2020-10-04,H001,manual adjuster,
T90380fd123db,C0000008,received,2018-02-18,H001,auto rule,
Tc568d74b07fe,C0000008,opened,2018-02-22,H001,manual adjuster,
Tb73de09d4a8f,C0000008,investigation,2018-03-09,H003,manual adjuster,
T2c3836741b7e,C0000008,approved,2018-03-12,AUTO,manual adjuster,
T6bd05bc1e0bb,C0000008,closed,2018-04-12,H003,manual adjuster,
T7219c380fbe8,C0000009,received,2021-02-17,H003,manual adjuster,
T84bfe2f7b755,C0000009,opened,2021-02-21,H001,auto rule,
T52aecb776884,C0000009,investigation,2021-03-02,AUTO,manual adjuster,
T14fe595eec50,C0000009,approved,2021-03-06,H003,manual adjuster,
T8b2e6d1bee2c,C0000009,closed,2021-04-15,H002,manual adjuster,
Tbe6379ba0b19,C0000010,received,2015-05-09,H002,manual adjuster,
T9c50044cc5d3,C0000010,opened,2015-05-09,H001,manual adjuster,
T30252fc96162,C0000010,investigation,2015-05-23,H003,manual adjuster,
Tfd7c13f17d2d,C0000010,approved,2015-05-25,AUTO,manual adjuster,
T09c7043f4c52,C0000010,closed,2015-06-08,AUTO,manual adjuster,
T2d2f5c04c5ba,C0000011,received,2022-03-04,AUTO,manual adjuster,
Tfef15f588a1b,C0000011,opened,2022-03-05,H003,manual adjuster,
Td3e155c6b953,C0000011,investigation,2022-03-22,H003,manual adjuster,
T59c01a192b14,C0000011,approved,2022-03-31,H003,manual adjuster,
T636add50635c,C0000011,closed,2022-05-28,H002,auto rule,
T3c62d24edc10,C0000011,reopened,2022-07-16,H003,manual adjuster,
T3f5aed8d13eb,C0000012,received,2018-02-24,H003,manual adjuster,
Tddf964368ce4,C0000012,opened,2018-02-25,H002,manual adjuster,
Tac5821135b82,C0000012,investigation,2018-03-13,H003,manual adjuster,
T37e0734181f7,C0000012,approved,2018-03-15,H003,manual adjuster,
T4e85976b613b,C0000012,closed,2018-04-08,H003,auto rule,
Tb2ca9d32fadd,C0000013,received,2018-06-15,H003,manual adjuster,
Te021256293b4,C0000013,opened,2018-06-15,AUTO,manual adjuster,
Tbe95001f567d,C0000013,investigation,2018-07-04,AUTO,manual adjuster,
T2fa1e7807078,C0000013,approved,2018-07-13,H001,auto rule,
T81122f16e930,C0000013,closed,2018-08-16,H001,manual adjuster,
Tb0bb8d47b452,C0000014,received,2024-09-16,H003,manual adjuster,
T16880cad5058,C0000014,opened,2024-09-17,H003,manual adjuster,
T16ee67b2f8c6,C0000014,investigation,2024-09-30,H002,manual adjuster,
T5ea557b55114,C0000014,approved,2024-10-09,H001,manual adjuster,
T19880884e115,C0000014,closed,2024-11-15,AUTO,manual adjuster,
